date;game_mode;answer;solved;guesses
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;3
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;3
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;3
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;3
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;3
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;3
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;3
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;3
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;3
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;5
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;4
2024-04-16;rand;shank;True;4
